600 10 1000
1 9 1 2
2 10 9 1
3 2 1 2
4 11 7 4
6 12 1 3
8 20 5 4
11 9 1 2
12 10 9 1
13 2 1 2
14 11 7 4
16 12 1 3
18 20 5 4
21 9 1 2
22 10 9 1
23 2 1 2
24 11 7 4
26 12 1 3
28 20 5 4
31 9 1 2
32 10 9 1
33 2 1 2
34 11 7 4
36 12 1 3
38 20 5 4
41 9 1 2
42 10 9 1
43 2 1 2
44 11 7 4
46 12 1 3
48 20 5 4
51 9 1 2
52 10 9 1
53 2 1 2
54 11 7 4
56 12 1 3
58 20 5 4
61 9 1 2
62 10 9 1
63 2 1 2
64 11 7 4
66 12 1 3
68 20 5 4
71 9 1 2
72 10 9 1
73 2 1 2
74 11 7 4
76 12 1 3
78 20 5 4
81 9 1 2
82 10 9 1
83 2 1 2
84 11 7 4
86 12 1 3
88 20 5 4
91 9 1 2
92 10 9 1
93 2 1 2
94 11 7 4
96 12 1 3
98 20 5 4
101 9 1 2
102 10 9 1
103 2 1 2
104 11 7 4
106 12 1 3
108 20 5 4
111 9 1 2
112 10 9 1
113 2 1 2
114 11 7 4
116 12 1 3
118 20 5 4
121 9 1 2
122 10 9 1
123 2 1 2
124 11 7 4
126 12 1 3
128 20 5 4
131 9 1 2
132 10 9 1
133 2 1 2
134 11 7 4
136 12 1 3
138 20 5 4
141 9 1 2
142 10 9 1
143 2 1 2
144 11 7 4
146 12 1 3
148 20 5 4
151 9 1 2
152 10 9 1
153 2 1 2
154 11 7 4
156 12 1 3
158 20 5 4
161 9 1 2
162 10 9 1
163 2 1 2
164 11 7 4
166 12 1 3
168 20 5 4
171 9 1 2
172 10 9 1
173 2 1 2
174 11 7 4
176 12 1 3
178 20 5 4
181 9 1 2
182 10 9 1
183 2 1 2
184 11 7 4
186 12 1 3
188 20 5 4
191 9 1 2
192 10 9 1
193 2 1 2
194 11 7 4
196 12 1 3
198 20 5 4
201 9 1 2
202 10 9 1
203 2 1 2
204 11 7 4
206 12 1 3
208 20 5 4
211 9 1 2
212 10 9 1
213 2 1 2
214 11 7 4
216 12 1 3
218 20 5 4
221 9 1 2
222 10 9 1
223 2 1 2
224 11 7 4
226 12 1 3
228 20 5 4
231 9 1 2
232 10 9 1
233 2 1 2
234 11 7 4
236 12 1 3
238 20 5 4
241 9 1 2
242 10 9 1
243 2 1 2
244 11 7 4
246 12 1 3
248 20 5 4
251 9 1 2
252 10 9 1
253 2 1 2
254 11 7 4
256 12 1 3
258 20 5 4
261 9 1 2
262 10 9 1
263 2 1 2
264 11 7 4
266 12 1 3
268 20 5 4
271 9 1 2
272 10 9 1
273 2 1 2
274 11 7 4
276 12 1 3
278 20 5 4
281 9 1 2
282 10 9 1
283 2 1 2
284 11 7 4
286 12 1 3
288 20 5 4
291 9 1 2
292 10 9 1
293 2 1 2
294 11 7 4
296 12 1 3
298 20 5 4
301 9 1 2
302 10 9 1
303 2 1 2
304 11 7 4
306 12 1 3
308 20 5 4
311 9 1 2
312 10 9 1
313 2 1 2
314 11 7 4
316 12 1 3
318 20 5 4
321 9 1 2
322 10 9 1
323 2 1 2
324 11 7 4
326 12 1 3
328 20 5 4
331 9 1 2
332 10 9 1
333 2 1 2
334 11 7 4
